id,label,name,attributes
Brhat saindhavadya taila,Formulation,Brhat saindhavadya taila,"{""dosage"": ""6g"", ""preparation_method"": """"}"
Brhat sarvajvarahara lauha,Formulation,Brhat sarvajvarahara lauha,"{""dosage"": ""125mg 3 times a day"", ""preparation_method"": """"}"
Brhatmasa taila,Formulation,Brhatmasa taila,"{""dosage"": ""6g"", ""preparation_method"": """"}"
Brihachhrungarabhra rasa,Formulation,Brihachhrungarabhra rasa,"{""dosage"": ""250 mg to 500 mg"", ""preparation_method"": """"}"
Brihadagnikumara rasa,Formulation,Brihadagnikumara rasa,"{""dosage"": ""1 g"", ""preparation_method"": """"}"
Brihanmarichadya taila,Formulation,Brihanmarichadya taila,"{""dosage"": ""Taila"", ""preparation_method"": """"}"
Brihat Gangadhara,Formulation,Brihat Gangadhara,"{""dosage"": ""500 mg-2 gm"", ""preparation_method"": """"}"
Brihat Kasturi Bhairava Rasa,Formulation,Brihat Kasturi Bhairava Rasa,"{""dosage"": ""125 mg"", ""preparation_method"": """"}"
Brihat Kushmanda Avaleha,Formulation,Brihat Kushmanda Avaleha,"{""dosage"": ""5-10 gm"", ""preparation_method"": """"}"
Brihat Vasakadi Kwatha,Formulation,Brihat Vasakadi Kwatha,"{""dosage"": ""20 ml"", ""preparation_method"": """"}"
Brihat ashwagandha ghrita,Formulation,Brihat ashwagandha ghrita,"{""dosage"": ""12g"", ""preparation_method"": """"}"
Brihat gangadhara churna,Formulation,Brihat gangadhara churna,"{""dosage"": ""3 to 6 g"", ""preparation_method"": """"}"
Brihat manjistadi Kwatha,Formulation,Brihat manjistadi Kwatha,"{""dosage"": ""20-40 ml"", ""preparation_method"": """"}"
Brihat vangeswara rasa,Formulation,Brihat vangeswara rasa,"{""dosage"": ""125 mg to 259 mg"", ""preparation_method"": """"}"
Brihat vidyadharabhra rasa,Formulation,Brihat vidyadharabhra rasa,"{""dosage"": ""375 mg"", ""preparation_method"": """"}"
Brihat visamajvarantaka lauha,Formulation,Brihat visamajvarantaka lauha,"{""dosage"": ""125mg"", ""preparation_method"": """"}"
Brihatvatachintamani,Formulation,Brihatvatachintamani,"{""dosage"": ""60-125 mg"", ""preparation_method"": """"}"
Bruhachchagaladya ghrita,Formulation,Bruhachchagaladya ghrita,"{""dosage"": ""12g"", ""preparation_method"": """"}"
Cagaladya ghrita,Formulation,Cagaladya ghrita,"{""dosage"": ""3 g"", ""preparation_method"": """"}"
Candana Kwatha,Formulation,Candana Kwatha,"{""dosage"": ""400 to 500 ml"", ""preparation_method"": """"}"
Candanabalalaksadi taila,Formulation,Candanabalalaksadi taila,"{""dosage"": ""6 ml"", ""preparation_method"": """"}"
Candanadi churna,Formulation,Candanadi churna,"{""dosage"": ""1/2 to 1 g"", ""preparation_method"": """"}"
Candanadi taila,Formulation,Candanadi taila,"{""dosage"": ""Taila"", ""preparation_method"": """"}"
Candanasava,Formulation,Candanasava,"{""dosage"": ""12 to 24 ml"", ""preparation_method"": """"}"
Candramrit Rasa,Formulation,Candramrit Rasa,"{""dosage"": ""250 mg; 1 Tab; 125 mg - 250 mg"", ""preparation_method"": """"}"
Candramshu rasa,Formulation,Candramshu rasa,"{""dosage"": ""250 mg"", ""preparation_method"": """"}"
Candraprabha vati,Formulation,Candraprabha vati,"{""dosage"": ""250 to 500 mg"", ""preparation_method"": """"}"
Candrashura Beeja Kwatha,Formulation,Candrashura Beeja Kwatha,"{""dosage"": ""15-30 ml"", ""preparation_method"": """"}"
Candrodaya vartti,Formulation,Candrodaya vartti,"{""dosage"": ""Varti"", ""preparation_method"": """"}"
Cangeri ghrita,Formulation,Cangeri ghrita,"{""dosage"": ""12g"", ""preparation_method"": """"}"
Capala sodhana,Formulation,Capala sodhana,"{""dosage"": ""Sodhana"", ""preparation_method"": """"}"
Castor oil,Formulation,Castor oil,"{""dosage"": ""10-20 ml"", ""preparation_method"": """"}"
Caturbeeja Curna,Formulation,Caturbeeja Curna,"{""dosage"": ""2- 3 gm"", ""preparation_method"": """"}"
Caturbhadra kwatha churna,Formulation,Caturbhadra kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Caturjata churna,Formulation,Caturjata churna,"{""dosage"": ""2 to 4 g"", ""preparation_method"": """"}"
Causastha Prahari Pippali,Formulation,Causastha Prahari Pippali,"{""dosage"": ""500 mg – 1gm"", ""preparation_method"": """"}"
Chinnodbhavadi kwatha curna,Formulation,Chinnodbhavadi kwatha curna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Chopchini,Formulation,Chopchini,"{""dosage"": ""2-5 gm"", ""preparation_method"": """"}"
Citraka Ghrta,Formulation,Citraka Ghrta,"{""dosage"": ""3-5 gm"", ""preparation_method"": """"}"
Citraka Haritaki,Formulation,Citraka Haritaki,"{""dosage"": ""6 to 12 g daily in divided dose."", ""preparation_method"": """"}"
Citraka Haritaki Avaleha,Formulation,Citraka Haritaki Avaleha,"{""dosage"": ""5-10 gm"", ""preparation_method"": """"}"
Citrakadi Gutika,Formulation,Citrakadi Gutika,"{""dosage"": ""500 mg - 1 g per day in divided doses with warm water/ Butter milk"", ""preparation_method"": """"}"
Citrakadi Taila,Formulation,Citrakadi Taila,"{""dosage"": ""External use: for Abhyanga (massage on whole body) and local application"", ""preparation_method"": """"}"
Citrakadi Vati,Formulation,Citrakadi Vati,"{""dosage"": ""2-3 Vati; 500 mg"", ""preparation_method"": """"}"
Citrakadi churna,Formulation,Citrakadi churna,"{""dosage"": ""3 g"", ""preparation_method"": """"}"
Cukkumtippalyadigutika,Formulation,Cukkumtippalyadigutika,"{""dosage"": ""250 mg"", ""preparation_method"": """"}"
Curna Citrakadi Curna,Formulation,Curna Citrakadi Curna,"{""dosage"": ""3 g with warm water"", ""preparation_method"": """"}"
